Device,App package,App name,Start time,Start time ms,Duration ms
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 01:21:46 GMT+01:00 2021",1639182106445,4056
Redmi Note 8 Pro,"com.app.floatingapptimer.com","StayOff","Sat Dec 11 01:21:50 GMT+01:00 2021",1639182110555,28242
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 01:22:07 GMT+01:00 2021",1639182127584,1536
Redmi Note 8 Pro,"com.android.vending","Sklep Google Play","Sat Dec 11 01:22:10 GMT+01:00 2021",1639182130556,98
Redmi Note 8 Pro,"com.google.android.permissioncontroller","Kontroler uprawnień","Sat Dec 11 01:22:18 GMT+01:00 2021",1639182138798,45
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 01:22:18 GMT+01:00 2021",1639182138876,818
Redmi Note 8 Pro,"com.funtomic.matchmasters","Match Masters","Sat Dec 11 01:22:19 GMT+01:00 2021",1639182139697,638635
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 01:32:58 GMT+01:00 2021",1639182778333,5586
Redmi Note 8 Pro,"com.facebook.katana","Facebook","Sat Dec 11 01:33:03 GMT+01:00 2021",1639182783930,685563
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 01:33:25 GMT+01:00 2021",1639182805776,2772
Redmi Note 8 Pro,"com.facebook.katana","Facebook","Sat Dec 11 01:50:44 GMT+01:00 2021",1639183844801,33482
Redmi Note 8 Pro,"com.facebook.katana","Facebook","Sat Dec 11 02:00:01 GMT+01:00 2021",1639184401665,554490
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 02:09:16 GMT+01:00 2021",1639184956156,3014
Redmi Note 8 Pro,"com.funtomic.matchmasters","Match Masters","Sat Dec 11 02:09:19 GMT+01:00 2021",1639184959176,310625
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 02:14:29 GMT+01:00 2021",1639185269802,13053
Redmi Note 8 Pro,"com.mi.globalbrowser","Przeglądarka","Sat Dec 11 02:14:34 GMT+01:00 2021",1639185274503,4783
Redmi Note 8 Pro,"com.app.floatingapptimer.com","StayOff","Sat Dec 11 02:14:42 GMT+01:00 2021",1639185282862,17171
Redmi Note 8 Pro,"com.android.vending","Sklep Google Play","Sat Dec 11 02:14:43 GMT+01:00 2021",1639185283891,61
Redmi Note 8 Pro,"com.android.vending","Sklep Google Play","Sat Dec 11 02:14:55 GMT+01:00 2021",1639185295356,57
Redmi Note 8 Pro,"com.google.android.permissioncontroller","Kontroler uprawnień","Sat Dec 11 02:15:00 GMT+01:00 2021",1639185300084,106
